drug,type,effect_or_reason,source_method,raw_text
Ofloxacin Ophthalmic,interaction,"quinolones, drugA, drugB, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, systemic administration of some quinolones, system",LLM,drug interactions specific drug interaction studies conducted ofloxacin ophthalmic solution systemic administration quinolones shown elevate plasma concentrations theophylline interfere metabolism caffeine enhance effects oral anticoagulant warfarin derivatives associated transient elevations serum creatinine patients receiving cyclosporine concomitantly
Ofloxacin Ophthalmic,contraindication,"Ofloxacin, ophthalmic, contraindication, ""ofloxacin ophthalmic solution is contraindicated in patients with a history of hypersensitivity to ofloxacin, to other quinolones, or to any of the components in this medication (see WARNINGS )""",LLM,contraindications ofloxacin ophthalmic solution contraindicated patients history hypersensitivity ofloxacin quinolones components medication warnings
Naproxen,interaction,"Drugs: DrugA, DrugB, DrugAnswer:D",LLM,7 drug interactions table 1 clinically significant drug interactions naproxen table 1 clinically significant drug interactions naproxen drugs interfere hemostasis clinical impact naproxen anticoagulants warfarin synergistic effect bleeding concomitant use naproxen anticoagulants increased risk bleeding compared use drug serotonin release platelets plays important role hemostasis case control cohort epidemiological studies showed concomitant use drugs interfere serotonin reuptake nsaid potentiate risk bleeding nsaid intervention monitor patients concomitant use naproxen tablets naproxen sodium tablets anticoagulants e g warfarin antiplatelet agents e g aspirin selective serotonin reuptake inhibitors ssris serotonin norepinephrine reuptake inhibitors snris signs bleeding warnings precautions 5 12 aspirin clinical impact pharmacodynamic pd study demonstrated interaction lower dose naproxen 220mg day 220mg twice daily interfered antiplatelet effect low dose immediate release aspirin interaction marked washout period naproxen 12 2 pharmacodynamics reason expect interaction present prescription doses naproxen enteric coated low dose aspirin peak interference aspirin function later observed pd study longer washout period controlled clinical studies showed concomitant use nsaids analgesic doses aspirin produce greater therapeutic effect use nsaids clinical study concomitant use nsaid aspirin associated significantly increased incidence gi adverse reactions compared use nsaid warnings precautions 5 2 intervention increased risk cardiovascular events following discontinuation naproxen interference antiplatelet effect aspirin washout period patients taking low dose aspirin cardioprotection require intermittent analgesics consider use nsaid interfere antiplatelet effect aspirin non nsaid analgesics appropriate concomitant use naproxen tablets naproxen sodium tablets analgesic doses aspirin generally recommended increased risk bleeding warnings precautions 5 12 naproxen tablets naproxen sodium tablets substitutes low dose aspirin cardiovascular protection ace inhibitors angiotensin receptor blockers beta blockers clinical impact nsaids diminish antihypertensive effect angiotensin converting enzyme ace inhibitors angiotensin receptor blockers arbs beta blockers including propranolol patients elderly volume depleted including diuretic therapy renal impairment co administration nsaid ace inhibitors arbs result deterioration renal function including possible acute renal failure effects usually reversible intervention concomitant use naproxen tablets naproxen sodium tablets ace inhibitors arbs beta blockers monitor blood pressure ensure desired blood pressure obtained concomitant use naproxen tablets naproxen sodium tablets ace inhibitors arbs patients elderly volume depleted impaired renal function monitor signs worsening renal function warnings precautions 5 6 drugs administered concomitantly patients adequately hydrated assess renal function beginning concomitant treatment periodically diuretics clinical impact clinical studies post marketing observations showed nsaids reduced natriuretic effect loop diuretics e g furosemide thiazide diuretics patients effect attributed nsaid inhibition renal prostaglandin synthesis intervention concomitant use naproxen tablets naproxen sodium tablets diuretics observe patients signs worsening renal function addition assuring diuretic efficacy including antihypertensive effects warnings precautions 5 6 digoxin clinical impact concomitant use naproxen digoxin reported increase serum concentration prolong half life digoxin intervention concomitant use naproxen tablets naproxen sodium tablets digoxin monitor serum digoxin levels lithium clinical impact nsaids produced elevations plasma lithium levels reductions renal lithium clearance mean minimum lithium concentration increased 15 renal clearance decreased approximately 20 effect attributed nsaid inhibition renal prostaglandin synthesis intervention concomitant use naproxen tablets naproxen sodium tablets lithium monitor patients signs lithium toxicity methotrexate clinical impact concomitant use nsaids methotrexate increase risk methotrexate toxicity e g neutropenia thrombocytopenia renal dysfunction intervention concomitant use naproxen tablets naproxen sodium tablets methotrexate monitor patients methotrexate toxicity cyclosporine clinical impact concomitant use naproxen tablets naproxen sodium tablets cyclosporine increase cyclosporine s nephrotoxicity intervention concomitant use naproxen tablets naproxen sodium tablets cyclosporine monitor patients signs worsening renal function nsaids salicylates clinical impact concomitant use naproxen nsaids salicylates e g diflunisal salsalate increases risk gi toxicity little increase efficacy warnings precautions 5 2 intervention concomitant use naproxen nsaids salicylates recommended pemetrexed clinical impact concomitant use naproxen tablets naproxen sodium tablets pemetrexed increase risk pemetrexed associated myelosuppression renal gi toxicity pemetrexed prescribing information intervention concomitant use naproxen tablets naproxen sodium tablets pemetrexed patients renal impairment creatinine clearance ranges 45 79 ml min monitor myelosuppression renal gi toxicity nsaids short elimination half lives e g diclofenac indomethacin avoided period days day days following administration pemetrexed absence data potential interaction pemetrexed nsaids longer half lives e g meloxicam nabumetone patients taking nsaids interrupt dosing days day days following pemetrexed administration antacids sucralfate clinical impact concomitant administration antacids magnesium oxide aluminum hydroxide sucralfate delay absorption naproxen intervention concomitant administration antacids magnesium oxide aluminum hydroxide sucralfate naproxen tablets naproxen sodium tablets recommended cholestyramine clinical impact concomitant administration cholestyramine delay absorption naproxen intervention concomitant administration cholestyramine naproxen tablets naproxen sodium tablets recommended probenecid clinical impact probenecid given concurrently increases naproxen anion plasma levels extends plasma half life significantly intervention patients simultaneously receiving naproxen tablets naproxen sodium tablets probenecid observed adjustment dose required albumin bound drugs clinical impact naproxen highly bound plasma albumin theoretical potential interaction albumin bound drugs coumarin type anticoagulants sulphonylureas hydantoins nsaids aspirin intervention patients simultaneously receiving naproxen tablets naproxen sodium tablets hydantoin sulphonamide sulphonylurea observed adjustment dose required drug laboratory test interactions bleeding times clinical impact naproxen decrease platelet aggregation prolong bleeding time intervention effect kept mind bleeding times determined porter silber test clinical impact administration naproxen result increased urinary values 17 ketogenic steroids interaction drug metabolites m di nitrobenzene assay intervention 17 hydroxy corticosteroid measurements porter silber test appear artifactually altered suggested therapy naproxen temporarily discontinued 72 hours adrenal function tests performed porter silber test urinary assays 5 hydroxy indoleacetic acid 5hiaa clinical impact naproxen interfere urinary assays 5 hydroxy indoleacetic acid 5hiaa intervention effect kept mind urinary 5 hydroxy indoleacetic acid determined drugs interfere hemostasis e g warfarin aspirin ssris snris monitor patients bleeding concomitantly taking naproxen tablets naproxen sodium tablets drugs interfere hemostasis concomitant use naproxen tablets naproxen sodium tablets analgesic doses aspirin generally recommended 7 ace inhibitors angiotensin receptor blockers arb beta blockers concomitant use naproxen tablets naproxen sodium tablets diminish antihypertensive effect drugs monitor blood pressure 7 ace inhibitors arbs concomitant use naproxen tablets naproxen sodium tablets elderly volume depleted renal impairment result deterioration renal function high risk patients monitor signs worsening renal function 7 diuretics nsaids reduce natriuretic effect furosemide thiazide diuretics monitor patients assure diuretic efficacy including antihypertensive effects 7 digoxin concomitant use naproxen tablets naproxen sodium tablets increase serum concentration prolong half life digoxin monitor serum digoxin levels 7
Naproxen,contraindication,"Naproxen, drugA, drugB, drugC, drugDI, drugA, drugB, drugA, drugC, drugDI, drugA, drugB, drugA, drugC, drugDI, drugA, drugB, drugA, drugC, drugDI, drugA, drugB, drugA, drugC, drugDI, drugA, drugB, drugA, drugC, drugDI, drugA, drugB, drugA, drugC, drugDI, drugA, drugB, drugA, drugC, drugDI, drugA, drugB, drugA, drugC, drugDI, drugA, drugB, drugA, drugC, drugDI, drugA, drugB, drugA, drugC, drugDI, drugA, drugB, drugA, drugC, drugDI, drugA, drugB, drug",LLM,4 contraindications naproxen tablets naproxen sodium tablets contraindicated following patients known hypersensitivity e g anaphylactic reactions skin reactions naproxen components drug product warnings precautions 5 7 5 9 history asthma urticaria allergic type reactions taking aspirin nsaids severe fatal anaphylactic reactions nsaids reported patients warnings precautions 5 7 5 8 setting coronary artery bypass graft cabg surgery warnings precautions 5 1 known hypersensitivity naproxen components drug product 4 history asthma urticaria allergic type reactions taking aspirin nsaids 4 setting cabg surgery 4
Mekinist,interaction,"MEKINIST, DRUG INTERACTIONS, Dabrafenib; MEKINIST, DRUG INTERACTIONS, OTHER DRUG",LLM,7 drug interactions mekinist indicated use combination dabrafenib refer dabrafenib prescribing information additional risk information applies combination use treatment
Mekinist,contraindication,None,LLM,4 contraindications 4
Gabapentin,interaction,"Gabapentin, drugInhibition, Cytochrome P450 enzymes; Gabapentin, drugA, DrugB, DrugInteractions; Gabapentin, drugC, DrugDiseases; Gabapentin, drugA, DrugB",LLM,drug interactions vitro studies conducted investigate potential gabapentin inhibit major cytochrome p450 enzymes cyp1a2 cyp2a6 cyp2c9 cyp2c19 cyp2d6 cyp2e1 cyp3a4 mediate drug xenobiotic metabolism isoform selective marker substrates human liver microsomal preparations highest concentration tested 171 mcg ml 1 mm slight degree inhibition 14 30 isoform cyp2a6 observed inhibition isoforms tested observed gabapentin concentrations 171 mcg ml approximately 15 times c max 3600 mg day gabapentin appreciably metabolized interfere metabolism commonly coadministered antiepileptic drugs drug interaction data described section obtained studies involving healthy adults adult patients epilepsy
Gabapentin,contraindication,"Gabapentin, drug, DrugA, DrugB, DrugCase, Hypersensitivity to, or a Related Drug",LLM,contraindications gabapentin tablets usp contraindicated patients demonstrated hypersensitivity drug ingredients
Glimepiride,interaction,"glimepiride, drugA, drugB, drugC, drugDI, drugAnswer:D",LLM,7 drug interactions certain medications affect glucose metabolism requiring glimepiride tablets dose adjustment close monitoring blood glucose 7 1 miconazole severe hypoglycemia occur glimepiride oral miconazole concomitantly 7 2 cytochrome p450 2c9 interactions inhibitors inducers cytochrome p450 2c9 affect glycemic control altering glimepiride plasma concentrations 7 3 colesevelam coadministration reduce glimepiride absorption glimepiride administered 4 hours prior colesevelam 2 1 7 4 7 1 drugs affecting glucose metabolism number medications affect glucose metabolism require glimepiride tablets dose adjustment particularly close monitoring hypoglycemia worsening glycemic control following examples medications increase glucose lowering effect sulfonylureas including glimepiride increasing susceptibility intensity hypoglycemia oral anti diabetic medications pramlintide acetate insulin angiotensin converting enzyme ace inhibitors h 2 receptor antagonists fibrates propoxyphene pentoxifylline somatostatin analogs anabolic steroids androgens cyclophosphamide phenyramidol guanethidine fluconazole sulfinpyrazone tetracyclines clarithromycin disopyramide quinolones drugs highly protein bound fluoxetine nonsteroidal anti inflammatory drugs salicylates sulfonamides chloramphenicol coumarins probenecid monoamine oxidase inhibitors medications administered patient receiving glimepiride monitor patient closely hypoglycemia medications withdrawn patient receiving glimepiride monitor patient closely worsening glycemic control following examples medications reduce glucose lowering effect sulfonylureas including glimepiride leading worsening glycemic control danazol glucagon somatropin protease inhibitors atypical antipsychotic medications e g olanzapine clozapine barbiturates diazoxide laxatives rifampin thiazides diuretics corticosteroids phenothiazines thyroid hormones estrogens oral contraceptives phenytoin nicotinic acid sympathomimetics e g epinephrine albuterol terbutaline isoniazid medications administered patient receiving glimepiride monitor patient closely worsening glycemic control medications withdrawn patient receiving glimepiride monitor patient closely hypoglycemia beta blockers clonidine reserpine lead potentiation weakening glimepiride s glucose lowering effect acute chronic alcohol intake potentiate weaken glucose lowering action glimepiride unpredictable fashion signs hypoglycemia reduced absent patients taking sympatholytic drugs beta blockers clonidine guanethidine reserpine 7 2 miconazole potential interaction oral miconazole sulfonylureas leading severe hypoglycemia reported interaction occurs dosage forms miconazole known 7 3 cytochrome p450 2c9 interactions interaction glimepiride inhibitors e g fluconazole inducers e g rifampin cytochrome p450 2c9 fluconazole inhibit metabolism glimepiride causing increased plasma concentrations glimepiride lead hypoglycemia rifampin induce metabolism glimepiride causing decreased plasma concentrations glimepiride lead worsening glycemic control 7 4 concomitant administration colesevelam colesevelam reduce maximum plasma concentration total exposure glimepiride coadministered absorption reduced glimepiride administered 4 hours prior colesevelam glimepiride administered 4 hours prior colesevelam
Glimepiride,contraindication,"Glimepiride, contraindication, Hypersensitivity to Glimepiride; Hypersensitivity to sulfonamide derivatives; Glimepiride, activeIndication, Hypersensitivity to Glimepiride; Hypersensitivity to glimepiride, activeIndication, Hypersensitivity to sulfonamide derivatives",LLM,4 contraindications glimepiride tablets contraindicated patients history hypersensitivity reaction glimepiride product s ingredients warnings precautions 5 2 sulfonamide derivatives patients developed allergic reaction sulfonamide derivatives develop allergic reaction glimepiride use glimepiride patients history allergic reaction sulfonamide derivatives hypersensitivity glimepiride product s ingredients 4 hypersensitivity sulfonamide derivatives 4
